packet_length,protocol,src_port,dst_port
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
462,17,5353,5353
482,-1,5353,5353
424,17,5353,5353
444,-1,5353,5353
212,17,55865,1900
56,-1,0,0
56,-1,0,0
70,17,62562,22222
70,17,62563,22222
70,17,62564,22222
70,17,62565,22222
60,-1,0,0
70,17,62566,22222
70,17,62567,22222
70,17,62568,22222
70,17,62569,22222
96,17,5353,5353
116,-1,5353,5353
56,17,62570,3289
56,17,62571,3289
56,17,62572,3289
56,17,62573,3289
450,17,5353,5353
470,-1,5353,5353
367,17,5353,5353
387,-1,5353,5353
317,17,5353,5353
337,-1,5353,5353
62,17,2008,2008
119,17,5353,5353
55,6,49416,443
66,6,53176,7680
56,-1,0,0
480,17,1900,59309
66,6,443,49416
102,6,443,63398
103,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
928,6,63398,443
85,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
919,6,63398,443
62,17,2008,2008
62,17,2007,2007
56,-1,0,0
157,-1,59306,1900
143,17,59309,1900
92,17,137,137
81,17,52695,5353
101,-1,52696,5353
167,17,51915,1900
211,17,50232,1900
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
102,6,443,63398
103,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
928,6,63398,443
85,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
919,6,63398,443
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
86,-1,0,0
66,6,57314,2869
66,6,2869,57314
102,6,443,63398
54,6,57314,2869
291,6,57314,2869
103,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
928,6,63398,443
85,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
919,6,63398,443
257,6,2869,57314
1514,6,2869,57314
1514,6,2869,57314
773,6,2869,57314
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,443,63398
54,6,57314,2869
54,6,57314,2869
310,6,57314,2869
686,-1,62561,3702
179,17,59309,1900
60,-1,0,0
62,17,2008,2008
62,17,2007,2007
92,17,137,137
276,6,2869,57314
92,17,137,137
1514,6,2869,57314
1514,6,2869,57314
773,6,2869,57314
92,17,137,137
92,17,137,137
92,17,137,137
54,6,57314,2869
54,6,57314,2869
54,6,57314,2869
102,6,443,63398
66,6,57316,2869
54,6,2869,57314
66,6,2869,57316
103,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
1466,6,63398,443
