Flow Duration,Total Fwd Packets,Total Backward Packets,Packet Length Mean,Flow Bytes/s,Protocol,Destination Port,Label
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,536.0,0,17,1900,0
0,1,0,233.0,0,17,5353,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,71.0,0,17,5355,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,230.0,0,17,5353,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
541227,2,0,542.0,2002.8560939283398,17,1900,0
0,1,0,92.0,0,17,137,0
0,1,0,92.0,0,17,137,0
0,1,0,78.0,0,17,5353,0
0,1,0,92.0,0,17,137,0
224112,2,0,92.0,821.0170649843882,17,137,0
0,1,0,113.0,0,17,5353,0
0,1,0,92.0,0,17,137,0
769805,2,0,736.0,1912.1720839061732,17,5353,0
809227,3,0,752.0,2787.8448987889437,17,5353,0
842995,4,0,821.0,3895.6332484675227,17,5353,0
875818,5,0,829.8,4737.285523923443,17,5353,0
0,1,0,389.0,0,17,5353,0
40915,2,0,389.0,19014.80381325315,17,5353,0
0,1,0,184.0,0,17,5353,0
0,1,0,92.0,0,17,137,0
0,1,0,63.0,0,6,7680,0
29921,1,1,58.5,3910.2276334661356,6,64137,0
890414,2,0,71.0,159.47620767666015,17,5355,0
0,1,0,387.0,0,17,5353,0
0,1,0,70.0,0,17,5353,0
1156491,2,0,92.0,159.10196745813727,17,137,0
58267,2,0,70.0,2402.6979496139415,17,5353,0
971801,2,0,92.0,189.33902776033162,17,137,0
1032341,2,0,92.0,178.23567928697594,17,137,0
0,1,0,411.0,0,17,5353,0
702143,2,0,92.0,262.05463082562875,17,137,0
799427,2,0,92.0,230.1645716548903,17,137,0
0,1,0,82.0,0,17,5353,0
32069,2,0,82.0,5113.826051401001,17,5353,0
865525,2,0,486.0,1123.01657475913,17,5353,0
0,1,0,212.0,0,17,1900,0
224421,2,0,411.0,3662.746762166509,17,5353,0
254359,3,0,411.0,4847.4701315354105,17,5353,0
1148551,3,0,92.0,240.30273429107524,17,137,0
0,1,0,212.0,0,17,1900,0
606444,2,1,60.0,296.8120609589827,6,7680,0
546047,2,0,387.0,1417.4592359304875,17,5353,0
574602,3,0,387.0,2020.5260302756074,17,5353,0
0,1,0,211.0,0,17,1900,0
0,1,0,387.0,0,17,5353,0
757507,2,2,58.5,308.90790427846264,6,64137,0
805272,3,2,59.4,368.8191051584887,6,7680,0
858286,3,3,58.5,408.95418226425284,6,64137,0
0,1,0,464.0,0,17,5353,0
0,1,0,179.0,0,17,1900,0
230826,2,0,387.0,3353.1730931514066,17,5353,0
0,1,0,107.0,0,17,5353,0
1159932,3,0,389.0,1006.0931354261538,17,5353,0
938888,3,0,70.0,223.66871983227966,17,5353,0
968881,4,0,70.0,288.9931398879172,17,5353,0
0,1,0,64.0,0,17,5355,0
0,1,0,75.0,0,17,5355,0
182187,2,0,121.5,1333.7903186547144,17,5353,0
0,1,0,76.0,0,17,5353,0
